LU_Code	Description	Surface_Storage_MAX	CN_1	CN_2	CN_3	CN_4	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	Interception_Growing	Interception_Nongrowing	RZ_1	RZ_2	RZ_3	RZ_4	REW_1	REW_2	REW_3	REW_4	TEW_1	TEW_2	TEW_3	TEW_4	Fraction_of_irrigation_from_GW	First_day_of_irrigation	Last_day_of_irrigation	First_day_of_growing_season	Last_day_of_growing_season	Max_allowable_depletion	Irrigation_efficiency	Application Option	Application Amount	Depletion_fraction	Mean_Plant_Height	L_ini	L_dev	L_mid	L_late	L_fallow	Kcb_Jan	Kcb_Feb	Kcb_Mar	Kcb_Apr	Kcb_May	Kcb_Jun	Kcb_Jul	Kcb_Aug	Kcb_Sep	Kcb_Oct	Kcb_Nov	Kcb_Dec
1	Open Water	0	100	100	100	100	2	0.6	0.12	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	0	0	0	0	0	0	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
2	"Developed, Open Space"	0	37	61	74	79	2	0.6	0.12	0.24	0.0835	0	2	2	2	2	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	2	0	0	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18
3	"Developed, Low Intensity"	0	60	75	84	87	2	0.6	0.12	0.24	0.0835	0	2	2	2	2	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	2	0	0	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18
4	"Developed, Medium Intensity"	0.25	70	82	88	91	2	0.6	0.12	0.24	0.0835	0	2	2	2	2	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	2	0	0	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18
5	"Developed, High Intensity"	0.25	81	88	92	94	2	0.6	0.12	0.24	0.0835	0	2	2	2	2	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	2	0	0	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18
6	Barren Land	0	77	86	91	94	2	0.6	0.12	0.24	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	3	0	0	0	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95
7	Deciduous Forest	0	36	60	73	79	2	0.6	0.12	0.24	0.05	0	2	1.97	1.74	1.82	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	30	0	0	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
8	Evergreen Forest	0	36	60	73	79	2	0.6	0.12	0.24	0.05	0	2	1.97	1.74	1.82	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	30	0	0	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
9	Mixed Forest	0	36	60	73	79	2	0.6	0.12	0.24	0.05	0	2.67	2.79	2.17	2.61	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	30	0	0	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
10	Shrub/Scrub	0	35	56	70	77	2	0.6	0.12	0.24	0.0625	0	3.33	3.61	2.59	3.4	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	4	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
11	Herbaceuous	0	30	48	65	73	2	0.6	0.12	0.24	0.09	0	3.33	3.61	2.11	3.4	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	4	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
12	Hay/Pasture	0	49	69	79	84	2	0.6	0.12	0.24	0.09	0	3.33	3.61	2.11	3.4	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	4	0	0	0	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95
13	Cultivated Crops	0	55	72	82	85	2	0.6	0.12	0.24	0.09	0	1.67	2	0.63	1.67	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	4	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
14	Woody Wetlands	0	86	86	86	86	2	0.6	0.12	0.24	0.05	0	4.5	4.5	4.5	4.5	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	5	0	0	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18
15	Emergent Herbaceuous Wetlands	0	80	80	80	80	2	0.6	0.12	0.24	0	0	4.5	4.5	4.5	4.5	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31	1	1	none	0	0.5	3	0	0	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18
